VID,Label,Start,End,Height,Width,FramesCut,AnnotatedFrames,Usage
EB1Qj5nAFQo,26,00:01:21,00:01:24,320,568,90,3,0
EBX6NhE-3vs,45,00:00:02,00:00:05,320,480,45,3,0
EBrCNHPe-9c,65,00:00:03,00:00:06,320,426,90,3,0
ECBhEQSdOcI,55,00:00:09,00:00:17,320,426,240,3,0
ECptHtHDMQA,17,00:00:02,00:00:05,320,426,90,3,0
EDsjsHyoXMk,55,00:01:24,00:01:32,320,434,240,3,0
EF8BpKGPF0w,36,00:01:20,00:01:22,320,568,60,3,0
EFMGJ5LfCZU,72,00:00:04,00:00:07,320,426,46,3,1
EFgXIYywcU4,61,00:00:42,00:00:48,320,568,181,3,0
EGDW7n2aQnU,63,00:00:40,00:00:45,320,426,75,3,0
EGNDIxcjMO0,67,00:00:36,00:00:40,320,426,120,3,0
EGv45MzlFPw,28,00:00:02,00:00:05,320,426,90,3,0
EHV4b6Y_Kl4,45,00:00:08,00:00:15,320,426,210,3,0
EIPtOk_ed8w,72,00:00:08,00:00:10,320,568,60,3,1
EKcluHlg27M,18,00:00:13,00:00:18,320,426,151,3,0
ELEb2IoCMec,78,00:13:00,00:13:06,320,568,150,3,0
EMzB4OI5Rfo,55,00:00:07,00:00:15,320,480,240,3,0
EO-piHC5CoA,36,00:01:15,00:01:18,320,426,45,3,0
EOIsJE8wzTw,28,00:00:12,00:00:15,320,426,91,3,0
EOLlB-5pGno,21,00:00:00,00:00:08,320,480,241,3,0
EPsBI4R2wwI,28,00:00:00,00:00:03,320,426,76,3,1
EQ6Occ_JppU,12,00:00:49,00:00:52,320,568,90,3,0
ES34wG2zOHI,36,00:00:01,00:00:04,320,426,53,3,0
ESM3495FiZM,68,00:02:40,00:02:46,320,568,180,3,0
ETCzg_toTeU,21,00:00:00,00:00:06,320,568,181,3,0
EUEZkwJulBY,43,00:01:31,00:01:37,320,568,180,3,1
EV_P0bagmxk,76,00:00:18,00:00:23,320,426,150,3,0
EXPOfStElLA,34,00:00:22,00:00:24,320,426,60,3,0
EXXZZcy4xYo,68,00:00:46,00:00:50,320,568,120,3,0
EZ5e_m-TYk8,77,00:00:21,00:00:29,320,426,240,3,0
EZA506VkA_0,56,00:00:14,00:00:18,320,426,80,3,0
EadxBPmQvtg,36,00:00:26,00:00:31,320,568,151,3,1
EcaXVl4ThQ8,77,00:00:13,00:00:18,320,568,151,3,0
EdgtwnlExrw,56,00:00:06,00:00:11,320,426,125,3,0
Eg6obDE4juY,41,00:00:21,00:00:29,320,426,240,3,0
EhDtl8Ed-pI,35,00:00:30,00:00:38,320,426,241,3,0
EhRuG0D-WsU,68,00:02:21,00:02:28,320,580,175,3,1
EiWDjmF4apE,43,00:00:13,00:00:18,320,568,151,3,0
Ejr9KBQzQPM,13,00:00:39,00:00:45,320,426,180,5,0
ElzfFwC7aK4,78,00:00:44,00:00:47,320,568,76,3,1
EmHoiqs3cLo,48,00:00:19,00:00:22,320,436,72,3,0
ErKsKivJ8Ww,11,00:00:03,00:00:09,320,480,180,3,1
Es4mgwvvAy8,63,00:00:05,00:00:11,320,568,171,3,0
EtYJtvJH7cM,41,00:00:00,00:00:08,320,426,241,3,0
EtbKgW4b3K8,48,00:00:20,00:00:26,320,568,180,3,0
EvoagbjUArQ,34,00:00:14,00:00:18,320,426,121,3,0
Ex7rY4JKsVo,36,00:01:19,00:01:24,320,436,150,3,0
EySl6bC6E4E,18,00:02:44,00:02:52,320,568,241,3,0
EymTVMtZSZc,34,00:00:06,00:00:13,320,426,210,3,0
EzO-Qo_CeoA,72,00:00:14,00:00:18,320,426,24,3,0
EzXkvol_K2g,34,00:00:39,00:00:42,320,568,90,3,0
Ezx5qeo3tVw,67,00:00:11,00:00:14,320,426,45,3,0
F12D4zPcUEA,68,00:01:48,00:01:54,320,568,180,5,0
F1v5SYPpQso,65,00:00:25,00:00:28,320,568,90,3,1
F2SxH5sxVgY,66,00:00:02,00:00:06,320,568,96,3,1
F5wcCnrUbvs,77,00:00:36,00:00:39,320,426,90,3,0
F64KSGjjKww,67,00:00:11,00:00:14,320,568,72,3,1
F6IV_d503io,35,00:01:07,00:01:11,320,426,96,3,0
F6p8RoNxs84,17,00:00:53,00:00:56,320,568,75,3,0
F6yfdakS54A,63,00:00:05,00:00:11,320,564,144,3,0
F8DQGZZzd2Y,46,00:00:03,00:00:06,320,426,90,3,0
F8uzgc6HpXw,11,00:03:10,00:03:16,320,568,180,3,1
FAJkQ3KTGQg,12,00:00:00,00:00:08,320,568,241,3,0
FAzYNSJjrYs,55,00:00:59,00:01:06,320,426,211,3,0
FBim3QeeQZE,35,00:01:58,00:02:00,320,568,61,3,0
FE7FjbMaazI,63,00:00:17,00:00:20,320,426,75,3,0
FEDOdid8_W0,41,00:00:16,00:00:19,320,568,90,3,0
FGD0lmAkJGg,36,00:01:16,00:01:22,320,568,150,3,0
FJpblAanou4,63,00:00:13,00:00:20,320,426,140,3,0
FJrtoyQz8pQ,67,00:00:08,00:00:12,320,426,120,3,0
FKMbe-lj5W4,26,00:01:26,00:01:30,320,426,119,3,1
FNbWXI3GiYU,22,00:00:03,00:00:09,320,426,90,3,0
FPCGZIGAXzE,63,00:00:26,00:00:31,320,426,110,3,1
FSH0Gm7czPU,77,00:00:04,00:00:07,320,568,89,3,0
FTcjzaqL0pE,68,00:00:43,00:00:49,320,568,181,3,0
FUDQJNIU2JY,12,00:01:12,00:01:19,320,426,211,3,0
FXhTdb0W2-k,35,00:00:29,00:00:35,320,480,181,3,0
FY0CEt_2V5A,26,00:00:01,00:00:04,320,568,45,3,1
FZk40J_drws,17,00:00:39,00:00:42,320,568,72,3,1
F_RRhVJG6vQ,77,00:00:06,00:00:14,320,568,240,3,1
FbL_pspVU40,18,00:03:05,00:03:13,320,568,240,3,0
FbVBQ6EstIc,35,00:00:30,00:00:33,320,568,91,3,0
FbbaAhQQhDU,22,00:00:07,00:00:14,320,568,210,5,0
Fbqh4YJan_k,43,00:00:07,00:00:15,320,426,240,3,0
FcBu6kj1htU,55,00:02:50,00:02:53,320,428,90,3,1
FcDi57QKEW4,75,00:04:37,00:04:45,320,426,240,3,0
FcHXTFfOdc0,63,00:00:37,00:00:41,320,568,120,3,0
FddoRFa6nYY,45,00:00:16,00:00:19,320,568,75,3,1
FhK1PJ3OiUg,54,00:00:00,00:00:04,320,568,116,3,1
Fi4nS2k_svU,36,00:00:21,00:00:27,320,426,180,3,0
FicoGjryzvA,44,00:00:15,00:00:20,320,426,151,5,0
Fiyr91l0wao,54,00:00:38,00:00:40,320,426,60,3,1
FlnEDpfblyU,21,00:00:08,00:00:16,320,568,240,3,0
FmaPgB5rXAg,43,00:00:10,00:00:14,320,568,120,3,1
FmnSdasKFVQ,67,00:00:02,00:00:05,320,426,90,3,0
Fmv-SIgOTJ8,68,00:01:13,00:01:16,320,426,91,3,0
FpcFwKsXx5w,41,00:00:00,00:00:05,320,568,151,3,0
FsxzvATQO7s,56,00:00:32,00:00:35,320,568,75,3,0
FtqgsJwG5cE,36,00:01:09,00:01:13,320,568,120,3,1
FwuSrhzCuNM,61,00:00:04,00:00:09,320,426,125,3,1
FxP-V_DQcrA,43,00:00:21,00:00:26,320,568,150,3,0
Fxfq-aXioAc,67,00:00:03,00:00:06,320,426,90,3,0
FxzH_SYgqDk,45,00:00:00,00:00:06,320,480,181,3,0
Fy6nsFBkOf0,22,00:00:07,00:00:15,320,568,240,3,1
FyeNU96W_6I,76,00:00:00,00:00:06,320,426,181,3,0
FyzYW5967Dg,26,00:00:07,00:00:15,320,568,240,3,0
Fz_uc5JiZbQ,57,00:00:00,00:00:02,320,568,51,3,0
G0YSBuw3i0g,13,00:00:52,00:01:00,320,568,240,3,0
G2zk_hiMoVk,15,00:00:07,00:00:10,320,426,90,3,0
G3zjFccIUUU,28,00:02:17,00:02:22,320,568,120,3,0
G4nfv2WF5M0,76,00:00:12,00:00:18,320,426,150,3,0
G4sjYvhSBE0,61,00:00:01,00:00:05,320,568,120,3,0
G5I0T9NYu54,75,00:01:17,00:01:20,320,568,90,3,0
G5Nb3elemJE,35,00:00:50,00:00:56,320,426,180,3,0
G6bky8UEug8,16,00:00:25,00:00:29,320,426,100,3,0
G8ll4sjdYmg,57,00:00:19,00:00:23,320,568,100,3,0
G9Od9d-npx8,48,00:00:53,00:01:00,320,568,210,3,0
GBqoZYfz4os,63,00:00:44,00:00:47,320,426,91,3,1
GCb9-PKs8Gc,44,00:00:17,00:00:25,320,568,192,3,0
GCgmK_J6jLg,43,00:00:43,00:00:48,320,568,125,3,0
GEDVSSjamm0,45,00:00:11,00:00:14,320,568,91,3,0
GEP-KgJkYnw,44,00:00:16,00:00:24,320,426,240,3,0
GEc2wQLYQVk,36,00:00:02,00:00:05,320,568,90,3,0
GFGSucJ2w3U,44,00:06:25,00:06:30,320,568,150,3,0
GHpTePiVIc0,45,00:02:04,00:02:08,320,568,120,3,0
GIPGVq61lTk,76,00:00:20,00:00:23,320,426,90,3,0
GJXC8Mo_ASQ,78,00:07:59,00:08:03,320,426,121,3,1
GJoCmtiBGRI,61,00:00:00,00:00:08,320,476,241,3,0
GJxqkwTb5LA,43,00:00:30,00:00:35,320,568,151,3,0
GNlQiBz3fgs,13,00:03:23,00:03:28,320,568,150,3,1
GOhC4METbBo,12,00:00:05,00:00:08,320,580,90,3,0
GPyvGjuykSM,56,00:00:05,00:00:09,320,568,120,3,0
GQI68kb9e7U,67,00:00:10,00:00:13,320,426,90,2,0
GQYbAvuszzQ,15,00:00:01,00:00:06,320,568,150,5,0
GRiFTTBx17w,67,00:00:05,00:00:08,320,426,45,3,0
GRmtHzIiU6g,46,00:00:11,00:00:14,320,426,91,3,1
GSvvp4mO7Qs,15,00:00:41,00:00:43,320,568,61,3,0
GTX7TJJyvFM,67,00:00:02,00:00:05,320,426,45,3,0
GVD0Qd9fLxI,41,00:00:00,00:00:05,320,568,126,5,0
GWwDOtxf8Go,73,00:00:00,00:00:06,320,426,181,3,0
GX7fs2v19ZY,54,00:00:04,00:00:07,320,426,90,3,0
GY3K853ygdA,77,00:00:53,00:00:57,320,426,120,3,1
GYdxk_Ob3y8,28,00:00:00,00:00:06,320,426,181,3,1
GZBen0C4JOU,12,00:01:08,00:01:14,320,426,180,5,0
GZPlz56w55k,28,00:01:35,00:01:41,320,568,180,3,1
G_CZQVK3Pwk,66,00:00:02,00:00:07,320,426,150,3,1
G_d2QMCW0zg,56,00:00:34,00:00:37,320,568,90,3,0
GaGvZd1laeI,77,00:00:05,00:00:08,320,568,90,3,0
GaUQUBvMzRo,43,00:00:40,00:00:44,320,426,60,3,0
GbjEDJ2bE1w,68,00:00:17,00:00:22,320,426,150,3,0
Gc64cQAbz8U,57,00:00:03,00:00:05,320,426,60,3,0
Gc8PVFQXL68,17,00:00:12,00:00:17,320,532,151,3,0
Gd6IxYMB_g0,65,00:00:01,00:00:04,320,480,90,3,0
Ge1lpefsIjQ,63,00:00:01,00:00:07,320,426,36,3,0
GeGK63LPEUs,57,00:00:14,00:00:19,320,568,126,3,0
GeYmDOzoibk,56,00:00:09,00:00:13,320,426,120,3,0
GhazluWbG2E,65,00:00:05,00:00:10,320,426,150,3,0
Gje2vm6pe7U,65,00:00:05,00:00:13,320,568,192,3,0
GljOmmsscTc,13,00:02:06,00:02:08,320,568,60,3,0
GnZSTkycovg,77,00:00:24,00:00:27,320,426,90,3,0
Go6b8Dp1SRo,44,00:00:22,00:00:26,320,568,120,3,0
GpzTYsif-AQ,12,00:00:01,00:00:07,320,426,180,3,0
Gs_ViAd-Cgg,48,00:00:01,00:00:06,320,568,125,3,0
Gw2BqNilzWk,41,00:00:04,00:00:10,320,568,180,5,0
GwMmqd07TnE,35,00:00:41,00:00:45,320,568,121,3,0
GxcQTYlL6TQ,44,00:00:07,00:00:14,320,568,210,3,1
GxfLe6LEvgI,72,00:00:09,00:00:16,320,426,197,3,0
GyKu01tQVDY,21,00:00:10,00:00:18,320,432,240,3,0
Gz-ZKY0b_60,41,00:00:12,00:00:19,320,426,211,5,0
Gz_RjhHRJCw,67,00:00:04,00:00:07,320,426,75,3,0
H0MjkAHV1ww,78,00:00:27,00:00:33,320,480,181,3,1
H1xN08TabmA,36,00:00:24,00:00:26,320,568,48,3,1
H2UISW3DAe4,77,00:00:11,00:00:19,320,426,241,3,0
H5U20UJ8Das,11,00:00:56,00:01:02,320,568,150,3,0
H5f125Xw3qM,43,00:00:00,00:00:06,320,568,181,3,0
H5kBccDMYGk,54,00:02:49,00:02:52,320,568,90,3,0
H7yKYHyJzzI,67,00:00:29,00:00:32,320,568,91,3,0
H91Ko4qZDak,21,00:01:13,00:01:21,320,568,241,5,0
H9LAh0BoLKs,75,00:00:25,00:00:31,320,426,180,5,0
HACl-X-ls64,73,00:01:38,00:01:43,320,570,125,3,0
HAIns-56tz0,45,00:00:30,00:00:38,320,568,241,3,0
HBRi1Jw2yOU,56,00:00:53,00:00:56,320,568,72,3,1
HIP4gc4gFmk,16,00:01:38,00:01:41,320,416,89,3,0
HKJVWivSU1o,45,00:00:17,00:00:20,320,426,90,3,0
HKOevvmGUOQ,15,00:00:25,00:00:27,320,568,60,3,1
HKPVok8lZ_A,11,00:01:14,00:01:20,320,566,145,3,0
HMq1u0uJvvY,21,00:00:24,00:00:32,320,426,240,5,0
HSovOOjv_l4,73,00:00:11,00:00:15,320,568,121,3,0
HT5imCmhiNc,26,00:00:39,00:00:42,320,426,90,3,0
HTF48777Ut8,41,00:00:11,00:00:19,320,426,122,3,0
HUemh6JnlAs,12,00:00:00,00:00:08,320,568,241,3,0
HVoVo6U4vyI,16,00:00:09,00:00:11,320,426,60,3,0
HXOvj8hoFrk,34,00:00:19,00:00:22,320,426,90,2,0
HYGkFj8H2-w,48,00:01:19,00:01:27,320,426,240,3,1
H_P_VvKC8Ds,65,00:00:01,00:00:08,320,426,210,3,0
H_mgXHAMDZI,68,00:00:00,00:00:03,320,568,76,3,0
HcIFZXaoRM0,36,00:00:47,00:00:52,320,568,150,3,0
HcKdMlDkLY4,56,00:00:09,00:00:14,320,568,150,3,0
HcWsk_1Pmrs,66,00:02:47,00:02:50,320,426,90,3,0
Heu0t6i5hl0,54,00:01:49,00:01:52,320,426,90,3,0
Hghfe4Kn4BE,72,00:00:12,00:00:15,320,568,91,3,0
Hgn1YcqIJfM,46,00:00:16,00:00:20,320,568,120,3,0
HgqbCq_sxmo,13,00:02:17,00:02:20,320,426,45,3,0
HhkxEBGCkS0,44,00:00:22,00:00:25,320,568,90,5,0
Hi0mHrqQXpA,72,00:00:12,00:00:16,320,568,121,3,1
HjdBI96tqM0,21,00:00:31,00:00:39,320,426,240,3,0
HkeK97FO2EY,35,00:01:07,00:01:16,320,568,270,3,0
HlmH5qjMSIw,17,00:00:00,00:00:04,320,568,101,3,0
Hly0vuXPG-M,75,00:00:01,00:00:06,320,426,75,5,0
HmeQW9pgU_A,63,00:00:05,00:00:10,320,456,125,3,0
HmlJjskzjuo,35,00:00:40,00:00:48,320,568,240,3,0
HpSPv9nC7Zk,77,00:00:49,00:00:55,320,568,180,3,0
HrX0ohmu1zw,11,00:01:27,00:01:33,320,426,150,3,0
Ht5p58DfAAQ,46,00:00:15,00:00:19,320,426,60,3,0
HtQsaxpHZXQ,61,00:00:00,00:00:05,320,568,50,3,0
Hu6dj3nMeh0,44,00:00:04,00:00:12,320,426,240,3,0
HvfEwS5Zkuw,78,00:02:46,00:02:49,320,426,90,3,0
HwZ-OeZfWBg,66,00:00:23,00:00:27,320,532,56,3,0
Hxq4PvJzPDM,35,00:00:41,00:00:45,320,568,100,3,0
HxsNvmFOYp0,76,00:00:04,00:00:08,320,480,120,3,0
HybEER6jfKM,41,00:00:05,00:00:12,320,568,210,3,0
Hzt18V3Uaxc,68,00:00:13,00:00:17,320,568,121,5,0
HzyTD2uZ8jI,15,00:01:13,00:01:15,320,426,61,3,0
I-_3e7urOMY,78,00:02:29,00:02:36,320,572,168,3,0
I0MlLHTWCro,35,00:00:00,00:00:05,320,568,121,3,0
I0zfxFTYM48,48,00:01:01,00:01:07,320,426,180,3,0
I1t4Phi_wp0,77,00:00:12,00:00:15,320,568,91,3,0
I2JQaAH--Pc,21,00:00:04,00:00:10,320,568,180,3,0
I2zLVhDTOM0,34,00:01:04,00:01:06,320,568,48,3,0
I475X25RznM,34,00:00:00,00:00:03,320,568,91,3,0
I5GbFgk-EPw,44,00:00:00,00:00:05,320,426,151,5,0
I5TtiYKO9aI,44,00:00:52,00:00:58,320,580,150,3,0
I7IEBm8ZH7s,35,00:00:15,00:00:20,320,426,121,3,0
IBU4_a7CKKs,36,00:02:01,00:02:03,320,568,60,3,1
ICvrQsxxebk,78,00:05:05,00:05:10,320,568,150,3,0
IDkhRWTzpvY,26,00:00:39,00:00:42,320,568,66,3,0
IEk2rRx5pnU,28,00:00:09,00:00:15,320,426,90,5,0
IF1Nax1WKV4,41,00:00:09,00:00:13,320,568,120,3,0
IFLbZ0eJLgI,55,00:00:03,00:00:07,320,568,100,3,1
IGA-UkHT2bM,26,00:00:24,00:00:28,320,568,120,3,0
IJ17Iynidxg,36,00:00:57,00:01:00,320,426,91,2,0
IJ1MdN_CjMY,68,00:00:37,00:00:41,320,426,120,3,0
IKbAl2-eHsg,68,00:00:05,00:00:11,320,568,150,3,0
ILVffLPMXfk,16,00:00:25,00:00:28,320,430,90,3,0
IO3tK-N-H3o,34,00:00:25,00:00:27,320,568,60,3,0
IRXk3uO1nU4,45,00:00:19,00:00:26,320,568,175,3,0
IRrbHQjE4LQ,34,00:00:15,00:00:17,320,568,49,3,0
IS8FJkIvjFg,61,00:00:29,00:00:33,320,426,105,3,0
ISQIIvpW16U,72,00:00:00,00:00:05,320,568,151,3,0
ITk_WcP-8xg,67,00:00:35,00:00:38,320,426,75,3,0
IV2ZHk9Rawk,65,00:00:16,00:00:19,320,568,90,3,1
IWUrJD-Lnvw,13,00:01:07,00:01:12,320,568,120,3,1
IXUu6PYTYR0,28,00:00:04,00:00:07,320,568,27,3,0
IZTF-wCA0gY,72,00:00:22,00:00:25,320,568,90,3,0
IbJIor9iMCo,78,00:01:58,00:02:01,320,568,91,3,0
IbmGMeso1q8,16,00:00:02,00:00:07,320,426,150,3,0
IcVvkm3_JpA,44,00:00:03,00:00:11,320,568,240,3,0
IcowgRlM-hE,72,00:01:41,00:01:46,320,568,150,5,0
IdBqzJpqvdM,36,00:00:51,00:00:53,320,568,60,3,0
IdXJYc4CpXA,57,00:00:12,00:00:13,320,568,31,3,0
IhevPR2IhG0,61,00:00:18,00:00:25,320,424,210,3,1
Ihrtnekv7Dk,61,00:00:00,00:00:07,320,568,211,3,0
IioHEr9cS-M,44,00:01:05,00:01:13,320,426,240,3,0
IjhZygCvgBY,63,00:00:10,00:00:18,320,426,72,3,1
IkGA07rRY9Q,56,00:03:41,00:03:44,320,426,75,3,0
IkcpZBuKNVg,57,00:00:50,00:00:58,320,568,240,3,0
IkdFT29tavo,76,00:00:57,00:01:03,320,568,181,3,0
Il1xcPcaJt0,65,00:00:02,00:00:06,320,568,120,3,0
IlZqp4ElL6c,61,00:00:02,00:00:05,320,426,90,3,0
IlyMUOfW6Ko,77,00:02:25,00:02:30,320,568,150,3,0
Im6POzFxe7s,63,00:00:00,00:00:05,320,568,151,5,0
ImVQMf-RHv8,21,00:00:41,00:00:49,320,568,241,5,0
InbIKT964iI,15,00:00:18,00:00:21,320,480,90,3,0
IpMN_NgXENw,76,00:00:14,00:00:20,320,426,181,3,1
IppaQSxbp_Y,18,00:00:29,00:00:33,320,568,97,3,1
IsvGg_a_2MQ,41,00:00:17,00:00:24,320,426,146,3,0
It9RxNhbreY,63,00:00:48,00:00:52,320,568,120,3,0
IuSrK7YvpS4,26,00:00:42,00:00:50,320,426,241,3,0
IuVj1LvOkMc,12,00:00:44,00:00:49,320,568,151,3,0
IujjPGh7M-Q,15,00:00:22,00:00:24,320,568,60,3,0
IvQ7UmztjC0,54,00:00:06,00:00:09,320,426,75,3,0
IvRZz2odxA0,17,00:06:06,00:06:13,320,568,175,3,1
Ivmxa7XMB2s,55,00:00:02,00:00:10,320,426,102,3,0
IwfketTwYpw,28,00:00:17,00:00:20,320,568,72,3,0
IxYXbTHKaaM,28,00:00:00,00:00:04,320,426,121,3,0
IzWBRDEiILw,43,00:00:31,00:00:39,320,568,240,3,0
J0AGa-GrfWI,34,00:00:02,00:00:05,320,568,90,3,0
J10axcxQs8k,35,00:02:07,00:02:10,320,568,90,3,1
J2l8Qv1htUY,78,00:00:28,00:00:31,320,426,45,3,0
J54W7qSm7gk,43,00:00:36,00:00:44,320,568,240,3,0
J5fHfbqgewE,18,00:00:12,00:00:14,320,426,61,3,0
J63s4XUkFhw,68,00:00:05,00:00:12,320,400,210,3,0
J74mt6MVvIc,72,00:00:09,00:00:14,320,568,150,3,0
J7TAx_vu1K8,46,00:00:12,00:00:15,320,532,91,3,0
J8vr64fxJJM,35,00:00:32,00:00:38,320,568,180,3,0
J9behYgYH5w,43,00:00:10,00:00:15,320,426,150,3,0
JA4Pw-UnycU,56,00:00:04,00:00:13,320,432,225,3,0
JAP-QOYDPIY,66,00:00:01,00:00:05,320,568,120,3,0
JAyETp6IrfQ,65,00:00:31,00:00:34,320,426,75,3,1
JBxNQIVY54Y,13,00:01:55,00:02:01,320,426,180,3,1
JC0xI9nb54Y,34,00:00:14,00:00:17,320,568,91,3,0
JDWfLbHVVQQ,43,00:00:08,00:00:16,320,568,200,3,1
JDsELmhFzj8,75,00:00:13,00:00:19,320,568,181,3,0
JE-DKXTfHuU,46,00:00:09,00:00:12,320,426,90,3,0
JE0r0xPfBGU,76,00:00:00,00:00:07,320,568,211,5,0
JE95TRb_KPY,61,00:00:09,00:00:15,320,564,174,3,0
JEn7flWKX0o,48,00:01:06,00:01:12,320,568,180,3,0
JFo3sOxvP9U,55,00:00:07,00:00:11,320,568,96,3,1
JHy6bBKu0j4,48,00:00:38,00:00:42,320,568,120,3,1
JIRCCthKAh0,36,00:01:33,00:01:39,320,568,150,3,0
JIbF8uhuQIs,22,00:01:55,00:02:01,320,568,180,3,0
JKA_SJ9fCP4,12,00:00:00,00:00:08,320,568,241,3,0
JKYKasV4-3s,76,00:00:15,00:00:21,320,568,181,5,0
JNSaDo2qGWg,48,00:00:00,00:00:04,320,426,60,2,0
JNziEdeT3hU,54,00:00:49,00:00:52,320,480,90,3,1
JOJltjnTWQo,75,00:00:47,00:00:50,320,426,90,3,0
JPppv-rMDkU,66,00:00:06,00:00:14,320,568,200,3,1
JQJ4KwmORSQ,57,00:00:08,00:00:15,320,568,168,3,1
JRTTH5HW6GQ,57,00:00:26,00:00:35,320,568,225,3,1
JSi6I936SmA,63,00:00:01,00:00:05,320,568,96,3,0
JTNvTBmhGAw,57,00:01:01,00:01:09,320,568,240,3,0
JVxEtYpA4uI,68,00:00:49,00:00:55,320,426,180,3,0
JXCqbnJ9jJU,16,00:00:13,00:00:19,320,426,181,3,1
JY3vgMijzhY,48,00:07:09,00:07:14,320,568,125,3,0
Ja0-jM6udl0,76,00:00:08,00:00:11,320,426,90,3,0
JbjSjB9bmig,45,00:00:07,00:00:10,320,426,72,3,0
JdPmexUhjWk,17,00:00:04,00:00:09,320,426,150,3,1
JdUhp1xtawo,17,00:00:06,00:00:11,320,426,150,3,0
JdvFAmCluR0,15,00:00:20,00:00:22,320,568,48,3,0
JeuHJB8m190,26,00:00:28,00:00:32,320,480,64,3,0
JfogUZTrJZ4,17,00:00:03,00:00:06,320,568,75,3,0
Jg487VNMIZ0,26,00:00:00,00:00:07,320,568,211,3,0
JgDF8i724n4,34,00:04:05,00:04:07,320,568,60,3,0
JgUBrgYXEMU,56,00:00:29,00:00:34,320,568,126,3,1
Jh8wNYz1j8c,54,00:00:10,00:00:13,320,568,75,3,0
Ji-cXKkTodE,35,00:02:04,00:02:10,320,568,180,3,0
JjTVLvC5DJw,15,00:03:53,00:03:57,320,568,96,3,0
Jl0Bzn2fRL4,43,00:00:14,00:00:22,320,426,120,3,0
JlgVRD37KJg,68,00:03:55,00:04:01,320,568,180,3,0
Jq37leMMy_g,34,00:00:00,00:00:08,320,568,241,3,1
Jr0bXVlBd3A,28,00:00:10,00:00:14,320,426,120,3,0
Jr7A_bWk8tI,35,00:00:04,00:00:12,320,568,240,3,0
JrGZd2wlFbM,17,00:00:40,00:00:45,320,570,150,3,0
JrTJ-h0W_Cg,11,00:09:39,00:09:47,320,568,192,3,0
JsqyGvEt0_w,12,00:00:08,00:00:10,320,568,60,3,1
Jt0caLWRkQM,46,00:00:23,00:00:26,320,426,90,3,0
Jtv5INycWso,76,00:00:10,00:00:16,320,568,180,3,0
Ju1j5cxB9pg,43,00:01:09,00:01:13,320,568,100,3,0
JuEROXxYK5k,78,00:03:10,00:03:13,320,568,90,3,0
JuLuLsk6UMQ,16,00:02:01,00:02:05,320,426,119,3,0
JvlIOOVo050,55,00:00:20,00:00:23,320,428,90,3,1
JwFdmebJbjA,61,00:00:27,00:00:30,320,568,91,3,0
JxeEM_02GGk,26,00:00:12,00:00:19,320,568,211,3,0
JxlPq-Dlf6M,26,00:00:48,00:00:52,320,426,100,3,1
Jy2y5A78ewo,43,00:00:02,00:00:10,320,568,240,3,0
K-0ir5GbWKA,41,00:00:05,00:00:11,320,568,180,3,1
K-o-twtOcHE,26,00:00:34,00:00:40,320,426,180,3,0
K0da6dT2YyY,26,00:00:43,00:00:57,320,568,332,3,0
K3rLolEbm6I,67,00:00:00,00:00:03,320,426,45,3,0
K3tTEYLPbIU,63,00:00:42,00:00:48,320,568,181,3,0
K6Rhfv4e0O4,17,00:00:49,00:00:53,320,426,120,5,0
K6YM7ht6SGg,44,00:06:23,00:06:27,320,426,120,3,0
K6h7wqLqJ0U,56,00:00:08,00:00:10,320,426,50,3,1
K80az7g_atE,61,00:00:06,00:00:14,320,568,120,3,0
KArujRUTyDM,73,00:00:04,00:00:10,320,568,180,3,1
KFlaaa8fGoE,68,00:00:14,00:00:20,320,426,151,3,0
KGSgm-Hk4SY,56,00:00:15,00:00:18,320,568,91,3,0
KGwj8nFpL5g,12,00:00:03,00:00:08,320,570,150,2,0
KH_HInz48MA,18,00:00:02,00:00:10,320,568,192,3,0
KHzzEG_UexY,11,00:00:53,00:00:59,320,568,180,3,0
KJmjh-7sME4,66,00:00:03,00:00:06,320,568,90,3,1
KJvNQO2DDNg,26,00:00:01,00:00:07,320,568,180,3,0
KLN4eoGzPr4,13,00:01:35,00:01:38,320,568,90,3,0
KNcTwYvUfb4,15,00:00:21,00:00:23,320,568,50,3,1
KNiZCWI8C0g,75,00:01:17,00:01:20,320,426,90,3,0
KOAf4UtQ3L0,16,00:00:32,00:00:38,320,568,180,3,0
KP7JR813oMM,43,00:01:41,00:01:47,320,568,150,3,1
KPXOcOA1LmU,11,00:03:27,00:03:32,320,568,120,3,1
KQH-h-nkOzs,22,00:03:05,00:03:13,320,568,240,3,0
KRkS4hwGc3k,28,00:00:40,00:00:46,320,568,180,3,0
KS-X0qmlAi4,75,00:00:41,00:00:45,320,568,121,3,0
KTmhRDxJGXc,22,00:00:04,00:00:12,320,568,240,5,0
KU-xEnQySvI,78,00:00:08,00:00:16,320,426,120,3,0
KUFGwYfVPjc,78,00:00:37,00:00:40,320,568,72,3,0
KUGBs--4ets,48,00:00:39,00:00:44,320,568,125,3,0
KUz-C4mNFnc,22,00:00:02,00:00:08,320,568,145,3,0
KVB3c-_VkuA,55,00:00:33,00:00:41,320,568,200,3,1
KVOXdI4vSDE,75,00:02:01,00:02:04,320,426,90,3,0
KYgVgAlTLqc,21,00:00:03,00:00:11,320,568,240,3,0
KZEyKGWGSJc,36,00:00:28,00:00:35,320,568,211,3,0
